review,topics
"music awful always way loud. top range noise cancelling headphones still hear music… gym also often quite crowded feels like isn’t enough equipment busy hours. aside that, gym fairly modern equipment, brought score up.","['Water quality', 'Hydration options', 'Water availability']"
gateshead gym improved new cardio equipment peak hours impossible get locker showers pretty cold. early morning good time train.,"['Air Conditioning', 'Treadmill Maintenance', 'Workout Environment']"
unable park car wait sometimes half hour,"['Air conditioning system', 'Cleanliness and maintenance', 'Equipment functionality']"
amazing 24h gym,"['24/7 access to showers', 'changing rooms', 'customer service resolution']"
"functional gym that. water southampton central barely warm, despite constantly telling them, toilets stink everything looks like bottle disinfectant would useful. ok, it’s price david lloyd even so, make water decent temperature shower. please.","['Cleanliness', 'Equipment Maintenance', 'Customer Service']"
could better water,"['Equipment availability', 'Class scheduling', 'Sound levels']"
"facilities good zero none air con air circulation, you’re treadmill you’re roasting time you’re even halfway workout…","['gym security', 'gym ventilation', 'gym equipment']"
"funks sweat time. needs better air con system something help air flow. really funks. toilets smelled dried pee. always constant mess recently. many machines / equipment broke work, i.e., leg press, exercise bikes. main floor filthy. seen cleaners past months. slowly going downhill. funks sweat edit: still dirty, needs deep clean","['Ventilation', 'Air Quality', 'Equipment Maintenance']"
"showers can’t used 11pm. adverts say 24/7 access assuming showers changing rooms well. no, even speaking customer service issue wasn’t resolved.","['Music selection', 'Power management', 'User experience']"
"""i'm seriously frustrated gym – paying premium, total disaster. filthy, water anywhere randomly shut water machines. manager's clueless, telling grab water toilet. disgusting downright infuriating – need fix mess asap.""","['Improve free weights usage', 'Enhance soap and toilet maintenance', 'Optimize leg press machine functionality']"
"lots equipment use even peak time wait machines much classes going ruin experience. music unnecessarily loud, even headphones cam heard. there's way class need music loud","['Organising', 'Class location', 'Music volume']"
"worst gym ever. stuff stolen gym bag securely stored locker changing room. gym poorly ventilated, equipment obsolete run-down, enough machines use gym little crowded, network coverage gym underground floor. terrible experience. avoid costs!!","['Locker room security', 'Staff behavior and training', 'Membership suspension process']"
"terrible smell sweat soon walk 🤮 hits face like brick. ventilation like hundred people exercising. nausea felt super weak workout. mind untidiness equipment laying around everywhere, air quality unbearable.","['Cleanliness of equipment', 'Availability of clean equipment', 'Maintenance of equipment']"
business ever perfect score bad musical taste playing background machines switched power socket,"['Air conditioning', 'Ventilation', 'Climate control']"
"unfortunately now, gym walking edge unusable. gym months 5- pieces equipment 'out order' reducing do. whilst understand equipment go down, commission months end sight, appears pure gym want get companies fix pay bill. still collecting gym fees, feels like con premium member paying something getting. rate maybe forced moved jd gym update: september 13th star star. credit credit due, next day writing original review, couple guys fixed approx machines. still main issue machines main stays people, would nice rectified, come repaired percent now, step right direction.","['Class layout and space utilization', 'Instructor training and mic management', 'Class scheduling and equipment placement']"
"find usage free weights difficult, people don’t put back, shame it’s hard control. soap toilets always empty. blue roll spray always empty. leg press machine likely action.","['Return Weights Rack Policy', 'Gym Floor Cleanliness', 'Lack of Foldable Plastic Benches']"
